# Rime user dictionary
#@/db_name	clover
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	25055
#@/user_id	c10b546d-9061-4101-80d7-81e8dd66747f
a 	啊	c=107 d=7.79577 t=25055
ban jiao 	半角	c=1 d=5.68535e-34 t=25055
ban qun 	半裙	c=1 d=1.35239e-22 t=25055
ban qun 	班群	c=1 d=1.35917e-22 t=25055
ban shang 	班上	c=0 d=0.0687289 t=25055
ban shang ren 	班上人	c=1 d=0.690734 t=25055
ban shi 	办事	c=3 d=0.488006 t=25055
ban tian 	半天	c=6 d=0.99005 t=25055
ban yun 	搬运	c=2 d=0.771052 t=25055
ban zi 	板子	c=2 d=1.53164 t=25055
bang 	帮	c=0 d=0.097531 t=25055
bang ding 	绑定	c=3 d=0.101489 t=25055
bang mang 	帮忙	c=0 d=0.0235746 t=25055
bang wo 	帮我	c=6 d=1.43873 t=25055
bang zhu 	帮助	c=3 d=0.985112 t=25055
bang zhu wo 	帮主卧	c=1 d=0.980199 t=25055
bao 	保	c=0 d=3.5186e-37 t=25055
bao 	包	c=24 d=0.0149686 t=25055
bao 	暴	c=2 d=1.53405 t=25055
bao bi 	暴毙	c=1 d=0.748264 t=25055
bao chi 	保持	c=7 d=0.000181733 t=25055
bao cun 	保存	c=5 d=2.12983e-12 t=25055
bao cun dao 	保存到	c=1 d=6.90007e-18 t=25055
bao cun zai 	保存在	c=1 d=0.904837 t=25055
bao cuo 	报错	c=19 d=1.78483 t=25055
bao dao 	报道	c=2 d=0.216202 t=25055
bao di 	保底	c=0 d=0.097531 t=25055
bao fa xing 	爆发性	c=1 d=0.852144 t=25055
bao gao 	报告	c=2 d=0.123687 t=25055
bao guan li qi 	包管理器	c=1 d=1.10266e-32 t=25055
bao gui 	宝贵	c=0 d=0.0316637 t=25055
bao gui o 	宝贵哦	c=1 d=0.318224 t=25055
bao guo 	包裹	c=2 d=0.515944 t=25055
bao han 	包含	c=7 d=0.927743 t=25055
bao han zai 	包含在	c=1 d=2.3988e-29 t=25055
bao ji 	保级	c=0 d=0.0618783 t=25055
bao ji bao shang guai 	保级暴伤乖	c=1 d=0.621885 t=25055
bao ji lv 	暴击率	c=2 d=1.18941 t=25055
bao jian 	保健	c=1 d=0.453845 t=25055
bao kuo 	包括	c=6 d=0.532592 t=25055
bao liu 	保留	c=4 d=2.0645e-05 t=25055
bao lu 	暴露	c=1 d=4.06764e-36 t=25055
bao lun 	暴论	c=1 d=1.41218e-31 t=25055
bao mi 	保密	c=0 d=0.0145876 t=25055
bao shang 	暴伤	c=4 d=2.53945 t=25055
bao xian 	保险	c=1 d=0.918512 t=25055
bao yan 	保研	c=0 d=3.18376e-37 t=25055
bao yan kan 	保研看	c=1 d=3.19972e-36 t=25055
bao yi xia 	包一下	c=1 d=6.63629e-30 t=25055
bao zha 	爆炸	c=1 d=0.268474 t=25055
bao zheng 	保证	c=3 d=0.00520954 t=25055
bao zhi 	报纸	c=1 d=1.43577e-20 t=25055
bao zhuang 	包装	c=1 d=2.47059e-23 t=25055
bei 	倍	c=1 d=0.028092 t=25055
bei 	呗	c=3 d=0.745905 t=25055
bei 	悲	c=16 d=0.494505 t=25055
bei 	杯	c=0 d=5.09677e-14 t=25055
bei 	被	c=23 d=4.49015 t=25055
bei 	贝	c=2 d=1.92688 t=25055
bei dong 	被动	c=1 d=0.946485 t=25055
bei er 	贝尔	c=0 d=3.6882e-32 t=25055
bei fang 	北方	c=1 d=1.44867e-37 t=25055
bei fen 	备份	c=1 d=3.28242e-25 t=25055
bei hai 	被害	c=2 d=0.0944887 t=25055
bei hai dao 	北海道	c=1 d=0.995012 t=25055
bei hou 	背后	c=1 d=0.208045 t=25055
bei jing 	北京	c=1 d=0.532592 t=25055
bei jing 	背景	c=1 d=0.535261 t=25055
ben 	本	c=1 d=0.0985112 t=25055
ben ban fa 	本办法	c=1 d=3.87862e-35 t=25055
ben ban fa 	笨办法	c=1 d=3.89806e-35 t=25055
ben di 	本地	c=2 d=0.988415 t=25055
ben ke 	本科	c=6 d=2.72448e-35 t=25055
ben lai 	本来	c=12 d=0.66034 t=25055
ben shen 	本身	c=7 d=0.171735 t=25055
ben ti 	本体	c=1 d=0.733447 t=25055
ben wen 	本文	c=0 d=1.59364e-13 t=25055
ben wen zhang 	本文张	c=1 d=1.60163e-12 t=25055
ben xiao 	本校	c=1 d=3.44893e-36 t=25055
ben zhi 	本质	c=1 d=0.000143382 t=25055
ben zhuan ye 	本专业	c=1 d=0.0129715 t=25055
beng 	崩	c=3 d=0.690734 t=25055
beng 	绷	c=3 d=1 t=25055
beng bu zhu 	绷不住	c=1 d=4.35813e-24 t=25055
beng huai 	崩坏	c=2 d=0.99005 t=25055
beng kui 	崩溃	c=6 d=2.83564 t=25055
beng san 	崩三	c=1 d=0.19205 t=25055
beng san 	迸散	c=1 d=0.191092 t=25055
beng tie 	崩铁	c=2 d=0.995012 t=25055
beng zhu 	绷住	c=2 d=2.82335e-05 t=25055
bi 	币	c=1 d=0.687289 t=25055
bi 	必	c=1 d=5.42023e-31 t=25055
bi 	比	c=20 d=1.80422 t=25055
bi 	笔	c=1 d=0.00050296 t=25055
bi bao 	闭包	c=1 d=1.94178e-13 t=25055
bi bu guo 	比不过	c=1 d=2.64379e-26 t=25055
bi dao 	毕导	c=1 d=1.10363e-13 t=25055
bi dui 	比对	c=1 d=0.980199 t=25055
bi ji 	笔记	c=4 d=0.814647 t=25055
bi ji ben 	笔记本	c=6 d=1.85781 t=25055
bi jia 	比价	c=1 d=0.99005 t=25055
bi jiao 	比较	c=20 d=2.50092 t=25055
bi jiao da 	比较大	c=1 d=1.72608e-10 t=25055
bi jiao hao 	比较好	c=1 d=2.68977e-23 t=25055
bi jiao lao 	比较老	c=1 d=1 t=25055
bi jiao nan 	比较难	c=1 d=0.895834 t=25055
bi jiao qiang 	比较强	c=1 d=0.084163 t=25055
bi jing 	毕竟	c=2 d=1.60556e-08 t=25055
bi juan 	闭卷	c=1 d=4.62132e-08 t=25055
bi li 	比例	c=2 d=0.343009 t=25055
bi mian 	避免	c=9 d=6.76044e-10 t=25055
bi niu er 	鼻牛儿	c=0 d=0.00138427 t=25055
bi qi lai 	比起来	c=1 d=4.18795e-26 t=25055
bi qing lian zhong 	鼻青脸肿	c=1 d=0.00128757 t=25055
bi ru 	比如	c=39 d=1.87948 t=25055
bi ru shuo 	比如说	c=2 d=0.644036 t=25055
bi sai 	比赛	c=3 d=0.588693 t=25055
bi shei 	比谁	c=2 d=1.55375 t=25055
bi wo 	比我	c=2 d=1.00211 t=25055
bi wu 	笔误	c=1 d=2.83597e-28 t=25055
bi xiu ke 	必修课	c=2 d=0.00594622 t=25055
bi xu 	必须	c=7 d=0.423187 t=25055
bi xu shi 	必须是	c=1 d=8.44096e-07 t=25055
bi xue 	必学	c=1 d=2.82961e-31 t=25055
bi yao 	必要	c=1 d=0.782705 t=25055
bi ye 	毕业	c=1 d=1.63338e-37 t=25055
bi yuan 	鼻渊	c=0 d=0.0814647 t=25055
bi yuan ban 	鼻渊班	c=1 d=0.818731 t=25055
bi zhi 	壁纸	c=4 d=0.00273504 t=25055
bi zi 	鼻子	c=1 d=0.323033 t=25055
bi zui 	闭嘴	c=1 d=1.44223e-14 t=25055
bian 	变	c=6 d=1.88765 t=25055
bian 	编	c=3 d=0.460607 t=25055
bian 	辨	c=0 d=0.0165299 t=25055
bian cheng 	变成	c=15 d=2.02476e-05 t=25055
bian cheng 	编程	c=6 d=7.21594e-21 t=25055
bian de 	变得	c=1 d=0.985112 t=25055
bian dong 	变动	c=2 d=1.11434e-09 t=25055
bian duo 	变多	c=1 d=1.01318e-07 t=25055
bian hua 	变化	c=5 d=9.16646e-11 t=25055
bian ji 	编辑	c=1 d=0.786628 t=25055
bian jie 	便捷	c=0 d=2.07572e-34 t=25055
bian jie yi dian 	便捷一点	c=1 d=2.08612e-33 t=25055
bian li 	便利	c=0 d=1.23746e-37 t=25055
bian li 	遍历	c=14 d=1.49069e-15 t=25055
bian li na ge 	便利那个	c=3 d=0.00179351 t=25055
bian liang 	变量	c=32 d=2.1118 t=25055
bian ma 	编码	c=3 d=2.47007e-28 t=25055
bian qian 	便签	c=1 d=0.965605 t=25055
bian wei 	变为	c=3 d=0.000152351 t=25055
bian xiang 	变相	c=1 d=0.00384878 t=25055
bian xie 	编写	c=1 d=3.56316e-37 t=25055
bian yi 	编译	c=21 d=1.79581 t=25055
bian yi qi 	编译器	c=13 d=1.28536 t=25055
bian yi yuan li 	编译原理	c=10 d=0.19459 t=25055
bian yi zhi xing 	编译执行	c=1 d=1.84514e-30 t=25055
bian zhong jian 	辨忠奸	c=1 d=0.166127 t=25055
biao 	标	c=1 d=0.0104142 t=25055
biao 	表	c=5 d=1.10424 t=25055
biao cheng 	标称	c=1 d=4.77927e-21 t=25055
biao da 	表达	c=1 d=0.440432 t=25055
biao da shi 	表达式	c=8 d=0.0869508 t=25055
biao di 	标的	c=1 d=0.66034 t=25055
biao di 	表弟	c=1 d=0.666977 t=25055
biao ge 	表格	c=4 d=1.73489e-19 t=25055
biao ming 	表明	c=1 d=1.12069e-17 t=25055
biao qian 	标签	c=3 d=1.03482 t=25055
biao qing 	表情	c=1 d=3.50651e-32 t=25055
biao qing bao 	表情包	c=1 d=1.30361e-31 t=25055
biao shi 	表示	c=24 d=4.28502 t=25055
biao shu 	表述	c=1 d=2.48771e-16 t=25055
biao ti 	标题	c=0 d=7.89738e-19 t=25055
biao ti hang 	标题行	c=3 d=2.5282e-17 t=25055
biao ti lan 	标题栏	c=1 d=0.873716 t=25055
biao xian 	表现	c=1 d=4.79914e-11 t=25055
biao yan 	表演	c=0 d=0.0822835 t=25055
biao zhi 	标志	c=2 d=1.90044e-05 t=25055
biao zhi 	标识	c=2 d=4.71659e-05 t=25055
biao zhi fu 	标识符	c=2 d=0.000365224 t=25055
biao zhu 	标注	c=2 d=8.45823e-14 t=25055
biao zhun 	标准	c=15 d=0.964627 t=25055
biao zhun ku 	标准库	c=3 d=8.15801e-29 t=25055
bie 	别	c=10 d=1.77307 t=25055
bie chu 	别出	c=1 d=0.418952 t=25055
bie de 	别的	c=1 d=0.499074 t=25055
bie gei wo 	别给我	c=1 d=3.12072e-36 t=25055
bie ji 	别急	c=5 d=0.365699 t=25055
bie juan 	别卷	c=1 d=1.05124e-29 t=25055
bie lai 	别来	c=1 d=4.79572e-32 t=25055
bie lian wang 	别联网	c=1 d=2.013e-25 t=25055
bie ming 	别名	c=2 d=5.4016e-12 t=25055
bie pao 	别跑	c=1 d=0.185444 t=25055
bie re 	别惹	c=1 d=0.154896 t=25055
bie ren 	别人	c=12 d=0.50605 t=25055
bie shuo 	别说	c=1 d=0.955997 t=25055
bie yong 	别用	c=0 d=0.0918512 t=25055
bie zai 	别再	c=1 d=0.927743 t=25055
bing 	兵	c=1 d=0.00360656 t=25055
bing 	冰	c=2 d=1.73929e-33 t=25055
bing 	并	c=2 d=0.0622109 t=25055
bing bu 	并不	c=4 d=0.741868 t=25055
bing bu dan dan 	并不单单	c=1 d=1.00102e-12 t=25055
bing bu hui 	并不会	c=2 d=6.15013e-12 t=25055
bing bu ming xian 	并不明显	c=1 d=0.0424257 t=25055
bing bu shi 	并不是	c=3 d=0.726149 t=25055
bing bu shi shi 	并不是是	c=1 d=1.22432e-28 t=25055
bing bu shi shuo 	并不是说	c=1 d=7.12013e-05 t=25055
bing cha ji 	并查集	c=1 d=0.0824965 t=25055
bing mei you 	并没有	c=1 d=1.28136e-05 t=25055
bing qie 	并且	c=7 d=0.94898 t=25055
bo 	伯	c=1 d=3.53564e-34 t=25055
bo dong 	波动	c=0 d=4.36643e-18 t=25055
bo ke 	博客	c=1 d=3.77244e-32 t=25055
bo sha 	搏杀	c=1 d=6.34212e-26 t=25055
bo wu guan 	博物馆	c=1 d=1 t=25055
bu 	不	c=17 d=1.54469 t=25055
bu 	步	c=1 d=2.37995e-18 t=25055
bu 	补	c=3 d=0.940118 t=25055
bu bao han 	不包含	c=3 d=2.72857e-15 t=25055
bu bi yao 	不必要	c=3 d=8.15529e-10 t=25055
bu bian 	不变	c=7 d=8.3796e-19 t=25055
bu biao zhun 	不标准	c=1 d=1.45871e-30 t=25055
bu bu 	不不	c=0 d=0.00368832 t=25055
bu bu bu 	不不不	c=2 d=0.333778 t=25055
bu cha 	不差	c=1 d=0.726149 t=25055
bu cheng gong 	不成功	c=1 d=2.00262e-23 t=25055
bu chong tu 	不冲突	c=1 d=6.92758e-06 t=25055
bu chu 	不出	c=0 d=0.0137381 t=25055
bu chu lai 	不出来	c=2 d=3.06681e-13 t=25055
bu chuan 	不穿	c=1 d=0.965605 t=25055
bu chuang jian 	不创建	c=1 d=2.25795e-23 t=25055
bu cuo 	不错	c=2 d=1.24756e-14 t=25055
bu da 	不大	c=2 d=6.23813e-08 t=25055
bu da 	不打	c=2 d=0.99005 t=25055
bu da xing 	不大行	c=1 d=0.00104891 t=25055
bu dao 	不到	c=0 d=5.89708e-24 t=25055
bu de 	不得	c=0 d=9.05762e-14 t=25055
bu de bu 	不得不	c=2 d=0.78472 t=25055
bu de bu shuo 	不得不说	c=3 d=2.82176e-24 t=25055
bu de bu xue 	不得补血	c=1 d=9.10302e-13 t=25055
bu dian 	补点	c=1 d=0.522046 t=25055
bu diao 	不掉	c=1 d=0.937067 t=25055
bu diao 	不钓	c=1 d=0.83527 t=25055
bu dong 	不动	c=3 d=1.1637 t=25055
bu dong 	不懂	c=2 d=0.336216 t=25055
bu dou shi 	不都是	c=1 d=9.25633e-33 t=25055
bu dui 	不对	c=4 d=0.86941 t=25055
bu dui jin 	不对劲	c=1 d=7.61643e-33 t=25055
bu duo 	不多	c=2 d=0.00129402 t=25055
bu fa sheng 	不发生	c=1 d=7.35971e-12 t=25055
bu fang 	不妨	c=1 d=4.56508e-11 t=25055
bu fen 	部分	c=13 d=2.23769 t=25055
bu fen lei 	部分类	c=1 d=1 t=25055
bu fu he 	不符合	c=3 d=0.88692 t=25055
bu gai 	不改	c=1 d=1.35354e-32 t=25055
bu gan 	不敢	c=1 d=1.92076e-32 t=25055
bu gan jing 	不干净	c=3 d=2.50836e-25 t=25055
bu gao 	不高	c=2 d=2.49415e-17 t=25055
bu gei 	不给	c=1 d=1.02142e-14 t=25055
bu geng gai 	不更改	c=1 d=0.701173 t=25055
bu gou yong 	不够用	c=1 d=0.818731 t=25055
bu guan 	不管	c=4 d=0.463018 t=25055
bu guan bi 	不关闭	c=2 d=1.20788e-08 t=25055
bu guan lu 	不管路	c=1 d=1.19844e-12 t=25055
bu guo 	不过	c=10 d=0.965215 t=25055
bu han 	不含	c=0 d=8.88431e-22 t=25055
bu han you 	不含有	c=1 d=8.92884e-21 t=25055
bu hao 	不好	c=3 d=0.761324 t=25055
bu hao cuo ci 	不好措辞	c=1 d=0.0247235 t=25055
bu hao hao xue xi 	不好好学习	c=1 d=1.18979e-15 t=25055
bu hao kan 	不好看	c=1 d=1.73739e-28 t=25055
bu hao ping lun 	不好评论	c=1 d=0.147342 t=25055
bu hao shuo 	不好说	c=1 d=2.63427e-13 t=25055
bu hao zhao 	不好找	c=1 d=0.980199 t=25055
bu he 	不合	c=1 d=1.94211e-15 t=25055
bu he li 	不合理	c=1 d=0.000116223 t=25055
bu hu 	不胡	c=1 d=9.93119e-08 t=25055
bu hui 	不会	c=20 d=2.64 t=25055
bu hui bei 	不会被	c=2 d=8.55659e-20 t=25055
bu hui xie 	不会写	c=1 d=1.41757e-17 t=25055
bu hui zuo 	不会做	c=1 d=1.08887e-31 t=25055
bu ji 	不急	c=3 d=0.000190664 t=25055
bu ji de 	不记得	c=1 d=0.938375 t=25055
bu jia 	不佳	c=1 d=4.12995e-09 t=25055
bu jia zai 	不加载	c=2 d=1.24774e-36 t=25055
bu jiao 	不交	c=2 d=0.891366 t=25055
bu jiao 	不叫	c=1 d=1.08661e-36 t=25055
bu jiao 	不焦	c=2 d=3.0706e-22 t=25055
bu jiao lv 	不焦虑	c=1 d=4.16352e-16 t=25055
bu jie shou 	不接受	c=1 d=0.408608 t=25055
bu jin 	不仅	c=0 d=2.98739e-31 t=25055
bu jin 	不尽	c=1 d=1.93144e-09 t=25055
bu jin 	不进	c=0 d=2.98188e-31 t=25055
bu jin jin 	不仅仅	c=1 d=8.94586e-14 t=25055
bu jiu 	不久	c=3 d=0.0170333 t=25055
bu jiu 	不就	c=1 d=3.23418e-15 t=25055
bu jiu shi 	不就是	c=2 d=0.251579 t=25055
bu jiu xing 	不就行	c=2 d=0.970446 t=25055
bu ju 	布局	c=4 d=1.81728 t=25055
bu kai 	不开	c=2 d=0.843665 t=25055
bu kai kou 	不开口	c=1 d=3.91093e-15 t=25055
bu kan 	不看	c=7 d=1.66328 t=25055
bu kao 	不靠	c=1 d=1.32403e-08 t=25055
bu kao qin 	不考勤	c=2 d=4.22357e-08 t=25055
bu ke 	不可	c=1 d=7.68774e-25 t=25055
bu ke bian 	不可变	c=1 d=2.00992e-07 t=25055
bu kui 	不愧	c=1 d=3.02797e-34 t=25055
bu le yi 	不乐意	c=1 d=9.158e-25 t=25055
bu li 	不利	c=1 d=0.158817 t=25055
bu li 	不离	c=1 d=0.000178665 t=25055
bu liao 	不了	c=4 d=0.781307 t=25055
bu lun 	不论	c=1 d=4.43544e-25 t=25055
bu man 	不满	c=1 d=0.45612 t=25055
bu man nin shuo 	不瞒您说	c=1 d=0.918512 t=25055
bu man zu 	不满足	c=1 d=3.24984e-13 t=25055
bu mang 	不忙	c=1 d=0.000223746 t=25055
bu ming bai 	不明白	c=0 d=4.34082e-37 t=25055
bu neng 	不能	c=19 d=2.32638 t=25055
bu neng gou 	不能够	c=1 d=4.19951e-29 t=25055
bu ou 	布偶	c=0 d=4.58001e-21 t=25055
bu pa 	不怕	c=1 d=0.207008 t=25055
bu pei 	不配	c=1 d=3.24476e-24 t=25055
bu peng 	不碰	c=1 d=1.98715e-20 t=25055
bu ping deng 	不平等	c=1 d=0.0432828 t=25055
bu qi 	不起	c=2 d=1.25305e-28 t=25055
bu qi guai 	不奇怪	c=1 d=0.715338 t=25055
bu qi zuo yong 	不起作用	c=1 d=9.53499e-29 t=25055
bu qing chu 	不清楚	c=4 d=0.0149569 t=25055
bu qu 	不去	c=1 d=0.000154549 t=25055
bu quan 	补全	c=12 d=1.52755 t=25055
bu quan ping 	不全屏	c=1 d=0.557106 t=25055
bu que ding 	不确定	c=4 d=2.53727e-11 t=25055
bu ran 	不然	c=5 d=1.66926 t=25055
bu ran ne 	不然呢	c=1 d=8.78515e-36 t=25055
bu rang 	不让	c=0 d=6.925e-32 t=25055
bu rang wo 	不让我	c=1 d=6.95971e-31 t=25055
bu ru 	不如	c=14 d=1.45763 t=25055
bu shang 	不上	c=0 d=0.0856415 t=25055
bu shang hai 	不伤害	c=1 d=0.235746 t=25055
bu shang lai 	不上来	c=0 d=1.02563e-34 t=25055
bu shao 	不少	c=1 d=4.58391e-30 t=25055
bu she zhi 	不设置	c=1 d=0.891366 t=25055
bu shen jiu 	不深究	c=1 d=7.13977e-08 t=25055
bu shen ming 	不申明	c=1 d=1.12126e-23 t=25055
bu shi 	不是	c=89 d=4.35977 t=25055
bu shi hei 	不是黑	c=1 d=3.07645e-15 t=25055
bu shi shuo 	不是说	c=0 d=7.08461e-06 t=25055
bu shi wei 	不视为	c=1 d=4.86323e-20 t=25055
bu shi yin yong 	不是引用	c=1 d=5.13382e-10 t=25055
bu shu xi 	不熟悉	c=4 d=0.97531 t=25055
bu shui jiao 	不睡觉	c=1 d=4.56663e-15 t=25055
bu shun 	不顺	c=1 d=0.0911727 t=25055
bu si niao 	不死鸟	c=1 d=1.2551e-26 t=25055
bu suan 	不算	c=3 d=0.000448321 t=25055
bu suan shi 	不算是	c=1 d=6.00905e-09 t=25055
bu suo fang 	不缩放	c=1 d=0.923116 t=25055
bu tai 	不太	c=6 d=1.34596 t=25055
bu tai hao 	不太好	c=3 d=0.0792617 t=25055
bu tai li jie 	不太理解	c=1 d=0.985112 t=25055
bu tai xing 	不太行	c=3 d=1.87834 t=25055
bu tai yi yang 	不太一样	c=3 d=1.58138 t=25055
bu ti huan 	不替换	c=1 d=4.05162e-19 t=25055
bu tong 	不同	c=10 d=1.43786 t=25055
bu tong she bei 	不同设备	c=1 d=0.254107 t=25055
bu wan 	不玩	c=2 d=7.64971e-23 t=25055
bu wan quan 	不完全	c=1 d=0.729789 t=25055
bu wen 	不问	c=1 d=0.271173 t=25055
bu wen ding 	不稳定	c=1 d=0.472367 t=25055
bu xi ai 	不喜爱	c=0 d=0.0771052 t=25055
bu xi huan 	不喜欢	c=5 d=0.919307 t=25055
bu xian 	不嫌	c=0 d=5.62974e-37 t=25055
bu xian 	不限	c=1 d=0.32628 t=25055
bu xian duo 	不嫌多	c=1 d=5.65796e-36 t=25055
bu xian shi 	不显示	c=1 d=1.20048e-32 t=25055
bu xiang 	不想	c=7 d=0.814647 t=25055
bu xiang 	不香	c=2 d=5.1549e-27 t=25055
bu xiang da 	不想打	c=1 d=0.32628 t=25055
bu xiang kan 	不想看	c=1 d=1.98986e-36 t=25055
bu xiang lian 	不想练	c=1 d=0.644036 t=25055
bu xiang qu 	不想去	c=1 d=0.551563 t=25055
bu xie 	不屑	c=1 d=2.07791e-16 t=25055
bu xin 	不信	c=1 d=0.143704 t=25055
bu xing 	不行	c=19 d=1.7882 t=25055
bu xu hang 	不续航	c=1 d=1.90495e-23 t=25055
bu xu yao 	不需要	c=4 d=1.57214 t=25055
bu xue 	不学	c=1 d=9.14865e-13 t=25055
bu xue 	补血	c=0 d=9.05762e-14 t=25055
bu yao 	不要	c=11 d=3.17581 t=25055
bu yao lian 	不要脸	c=1 d=0.737123 t=25055
bu yao xuan 	不要选	c=1 d=0.19205 t=25055
bu yao yong 	不要用	c=1 d=0.900325 t=25055
bu ye shi 	不也是	c=3 d=0.251579 t=25055
bu yi yang 	不一样	c=9 d=1.90768 t=25055
bu ying gai 	不应该	c=3 d=0.694467 t=25055
bu ying xiang 	不影响	c=1 d=0.000119165 t=25055
bu yong 	不用	c=9 d=0.307279 t=25055
bu yong wo 	不用我	c=1 d=0.71177 t=25055
bu zai 	不在	c=3 d=0.680952 t=25055
bu zai zhe 	不在这	c=1 d=3.29661e-34 t=25055
bu zen me 	不怎么	c=3 d=0.387676 t=25055
bu zhao 	不找	c=0 d=0.0366045 t=25055
bu zheng 	不正	c=1 d=0.640824 t=25055
bu zheng huo 	不整活	c=1 d=3.98574e-32 t=25055
bu zhi 	不知	c=1 d=1.0527e-16 t=25055
bu zhi chi 	不支持	c=1 d=6.17481e-35 t=25055
bu zhi dao 	不知道	c=26 d=3.18525 t=25055
bu zhi jie 	不直接	c=2 d=7.32176e-10 t=25055
bu zhi xing 	不执行	c=1 d=0.00726273 t=25055
bu zhong 	不中	c=1 d=0.000156885 t=25055
bu zhu 	不住	c=0 d=4.33639e-25 t=25055
bu zi xi 	不仔细	c=1 d=0.99005 t=25055
ca han 	擦汗	c=0 d=0.000139481 t=25055
ca han tu 	擦汗土	c=1 d=0.0014018 t=25055
cai 	才	c=11 d=0.995012 t=25055
cai 	猜	c=2 d=0.694443 t=25055
cai 	踩	c=0 d=0.120515 t=25055
